,Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,pipeline_score,Clean Review,Review,Title,Content,Rating,Sentiment,Year,Month,Day,Review Length,Word Count
0,0,0.0,0.505,0.495,0.8687,0.0018222741782665253,0.01910332217812538,0.9790744185447693,0.99988,good sound seem decent build quality good sound happy purchase,good sound. seem decent build quality and good sound. very happy with purchase.,good sound,seem decent build quality and good sound. very happy with purchase.,5,Positive,2023,5,28,79,13
1,1,0.028,0.735,0.238,0.9677,0.10738193988800049,0.197999969124794,0.6946181058883667,0.99909,not realise bad audio setup considering used quite respectable setup many years ago feel trap using bluetooth speakers leave lot desired price provide perfect audio experience filling 3x3m room hardly auditorium quality amazing feel like subwoofer genres average listening experience without neighbours complaining beautiful almost brings tear eye,"i didn't realise how bad my audio setup was. considering i used to have quite a respectable setup many years ago i've feel into a trap of using bluetooth speakers which leave a lot to be desired. for the price these provide a perfect audio experience. now i'm only filling a 3x3m room so hardly an auditorium but the quality is amazing. i do feel like i could do with a subwoofer for some genres but for the average listening experience, without the neighbours complaining, it's beautiful. almost brings a tear to my eye.",i didn't realise how bad my audio setup was,"considering i used to have quite a respectable setup many years ago i've feel into a trap of using bluetooth speakers which leave a lot to be desired. for the price these provide a perfect audio experience. now i'm only filling a 3x3m room so hardly an auditorium but the quality is amazing. i do feel like i could do with a subwoofer for some genres but for the average listening experience, without the neighbours complaining, it's beautiful. almost brings a tear to my eye.",5,Positive,2023,5,27,521,94
2,2,0.0,0.429,0.571,0.8402,0.0025658051017671824,0.01725776121020317,0.9801764488220215,0.99988,beauty love compact shape sound,its a beauty. love its compact shape and sound,its a beauty,love its compact shape and sound,5,Positive,2023,5,26,46,9
3,3,0.061,0.581,0.358,0.8658,0.007549116853624582,0.058147359639406204,0.9343035221099854,-0.70859,perfect upgrade pc audio ruining cheap pc speakers blow mind clean sound small frame good value money,"perfect upgrade for pc audio. if you ruining cheap pc speakers those will blow your mind. clean sound, small frame, good value for money.",perfect upgrade for pc audio,"if you ruining cheap pc speakers those will blow your mind. clean sound, small frame, good value for money.",5,Positive,2023,5,23,137,24
4,4,0.033,0.795,0.171,0.9904,0.01517223846167326,0.12408839166164398,0.8607393503189087,0.9947,wonderful monitors years since using monitors use dt770 250 audio work wow pleased added studio first sound sound quite flat good accurately eq sound bass even meaning not exaggerated mids well balanced sound great high end also fairly well balanced get nice air snap eqing bayer dynamic dt770 250 find headphones air snap bit highs default lower mids probably little punch not much going back forth 770 monitors similar ish experience build quality size petit size not take much room build absolutely fine price no issues standard connections means speaker wire phono 3 5mm unbalanced recommend using trs trs help eliminate noise emf backs also access bass treble knobs help tune sound room front power switch 3 5mm ports headphones phone play music phone via correct cable usually 3 5mm 3 5mm note headphone not powerful enough power 250ohm headphones overall monitors brilliant well worth price,"wonderful monitors. it's been some years since using any monitors as i use dt770 250's for all my audio work and wow, i'm so pleased i added these to my studio...first the sound...the sound is quite flat which is good as you can accurately eq your sound. the bass is ""even"", meaning that it's there but it's not exaggerated. the mids are very well balanced (they sound great) and the high end is also fairly well balanced and you can get some nice air and snap when eqing. for those that have the bayer dynamic dt770 250's, you'll find your headphones have more ""air"" and snap a bit more in the highs by default, the lower mids probably have a little more punch, but not much. going back and forth between the 770's and the monitors should be a similar(ish) experience...build quality and size..very petit in size, they don't take up much room. the build is absolutely fine for the price. no issues there...you have standard connections by means of speaker wire and phono to 3.5mm (unbalanced). i'd recommend using some trs to trs to help eliminate noise from emf...on the backs you also have access to bass and treble knobs to help tune the sound to your room...on the front you have the power switch and 3.5mm ports for headphones and phone so you can play music from your phone via the correct cable, usually 3.5mm to 3.5mm. just note that the headphone in isn't powerful enough to power 250ohm headphones...overall, these monitors are brilliant and well worth the price.",wonderful monitors,"it's been some years since using any monitors as i use dt770 250's for all my audio work and wow, i'm so pleased i added these to my studio...first the sound...the sound is quite flat which is good as you can accurately eq your sound. the bass is ""even"", meaning that it's there but it's not exaggerated. the mids are very well balanced (they sound great) and the high end is also fairly well balanced and you can get some nice air and snap when eqing. for those that have the bayer dynamic dt770 250's, you'll find your headphones have more ""air"" and snap a bit more in the highs by default, the lower mids probably have a little more punch, but not much. going back and forth between the 770's and the monitors should be a similar(ish) experience...build quality and size..very petit in size, they don't take up much room. the build is absolutely fine for the price. no issues there...you have standard connections by means of speaker wire and phono to 3.5mm (unbalanced). i'd recommend using some trs to trs to help eliminate noise from emf...on the backs you also have access to bass and treble knobs to help tune the sound to your room...on the front you have the power switch and 3.5mm ports for headphones and phone so you can play music from your phone via the correct cable, usually 3.5mm to 3.5mm. just note that the headphone in isn't powerful enough to power 250ohm headphones...overall, these monitors are brilliant and well worth the price.",5,Positive,2023,5,21,1474,261
5,5,0.124,0.876,0.0,-0.6232,0.8718428015708923,0.11316549777984619,0.014991766773164272,-0.99929,not loud enough probably suited bedroom use not anything bass kept cutting highs mids times also not great opted krk instead,not loud enough. these are probably suited for bedroom use and not anything more. the bass kept cutting out with the highs and mids at times also doing the same. not great at all - i opted for krk’s instead!,not loud enough,these are probably suited for bedroom use and not anything more. the bass kept cutting out with the highs and mids at times also doing the same. not great at all - i opted for krk’s instead!,2,Negative,2023,5,20,207,40
6,6,0.355,0.526,0.118,-0.5574,0.9489054679870605,0.04706842824816704,0.004026161041110754,-0.9998,faulty passive speaker not connect main speaker faulty disappointed,faulty. passive speaker won't connect to the main speaker.. faulty.very disappointed,faulty,passive speaker won't connect to the main speaker.. faulty.very disappointed,1,Negative,2023,5,18,84,11
7,7,0.0,0.626,0.374,0.985,0.0017183533636853099,0.007539212238043547,0.9907423853874207,0.99986,brilliant monitor speakers dj ing absolutely love speakers perfect dj ing home loud enough little boogie kids sound quality great glad research ahead time build quality really good volume pot nice smooth great home music production gaming well worth investment,"brilliant monitor speakers for dj'ing. absolutely love these speakers - perfect for dj'ing at home and loud enough for a little boogie with the kids. sound quality is great and i'm glad i did my research ahead of time. build quality is really good, the volume pot is nice and smooth...these would be great for home music production or for gaming...well worth the investment.",brilliant monitor speakers for dj'ing,"absolutely love these speakers - perfect for dj'ing at home and loud enough for a little boogie with the kids. sound quality is great and i'm glad i did my research ahead of time. build quality is really good, the volume pot is nice and smooth...these would be great for home music production or for gaming...well worth the investment.",5,Positive,2023,5,17,374,64
8,8,0.0,0.595,0.405,0.9429,0.2128867506980896,0.4654625952243805,0.3216506838798523,-0.98872,good not good harman kardon soundticks good not good harman kardon soundticks though smaller overall,very good but not as good as the harman kardon soundticks. very good but not as good as the harman kardon soundticks..though these are smaller overall,very good but not as good as the harman kardon soundticks,very good but not as good as the harman kardon soundticks..though these are smaller overall,4,Positive,2023,5,14,150,26
9,9,0.091,0.823,0.086,-0.2453,0.8846877217292786,0.10193394869565964,0.013378316536545753,-0.99927,crackling sound connected bluetooth like preface review saying tried 2 different sets speakers bluetooth version brand new exact issue must model issue rather one problem first pair bought constant crackling buzzing noise coming passive speaker connected bluetooth noise disappeared disconnected bluetooth appeared instantly connected audible low volumes ruined listening experience exchanged another set second set exact problem tried connecting different bluetooth device tried moving speakers different rooms moving electrical devices away swapping cables around noise not disappear no matter tried really disappointing massively turned away purchasing presonus products started returns process 2nd may 2023 posted item day still not refund today 12th may 2023 love update refund please,"crackling sound when connected to bluetooth. i’d like to preface this review by saying i tried 2 different sets of these speakers (both the bluetooth version), brand new, and both had the exact same issue, so must be a model issue rather than a one-off problem...the first pair i bought had a constant crackling/buzzing noise coming from the passive speaker when connected to bluetooth. the noise disappeared when disconnected from bluetooth, but appeared instantly when connected. it was audible at low volumes which ruined the listening experience so i exchanged for another set...this second set had the exact same problem. i tried connecting a different bluetooth device, i tried moving the speakers to different rooms, moving electrical devices away, swapping cables around… but the noise would not disappear no matter what i tried...really disappointing and has massively turned me away from purchasing presonus products again...i started the returns process on 2nd may 2023, posted the item the same day, and still have not had a refund - today is 12th may 2023. would love an update on my refund please?",crackling sound when connected to bluetooth,"i’d like to preface this review by saying i tried 2 different sets of these speakers (both the bluetooth version), brand new, and both had the exact same issue, so must be a model issue rather than a one-off problem...the first pair i bought had a constant crackling/buzzing noise coming from the passive speaker when connected to bluetooth. the noise disappeared when disconnected from bluetooth, but appeared instantly when connected. it was audible at low volumes which ruined the listening experience so i exchanged for another set...this second set had the exact same problem. i tried connecting a different bluetooth device, i tried moving the speakers to different rooms, moving electrical devices away, swapping cables around… but the noise would not disappear no matter what i tried...really disappointing and has massively turned me away from purchasing presonus products again...i started the returns process on 2nd may 2023, posted the item the same day, and still have not had a refund - today is 12th may 2023. would love an update on my refund please?",1,Negative,2023,5,12,1111,180
10,10,0.393,0.607,0.0,-0.8126,0.8948574662208557,0.09721307456493378,0.007929389365017414,-0.9997,broke 2 years speakers broke couple years useless amp went inside,these broke after 2 years. my speakers broke after a couple of years - useless the amp went inside.,these broke after 2 years,my speakers broke after a couple of years - useless the amp went inside.,1,Negative,2023,5,9,99,19
11,11,0.0,0.624,0.376,0.8636,0.0017550332704558969,0.014757017605006695,0.9834879040718079,0.99978,impressive sound quality bought pair daughter good kept ordered another pair,"impressive sound quality!. bought a pair of these for my daughter, so good i kept them and ordered another pair :-)",impressive sound quality!,"bought a pair of these for my daughter, so good i kept them and ordered another pair :-)",5,Positive,2023,5,7,115,21
12,12,0.0,0.196,0.804,0.6249,0.012071389704942703,0.09807176142930984,0.8898568153381348,0.99978,great deal,great deal.. ,great deal.,,5,Positive,2023,5,7,13,2
13,13,0.0,0.313,0.687,0.9558,0.00129705632571131,0.009125870652496815,0.989577054977417,0.99989,excellent great set speakers good quality sound easy connections happy,excellent. great set of speakers. good quality sound. easy connections. very happy 🙂👍,excellent,great set of speakers. good quality sound. easy connections. very happy 🙂👍,5,Positive,2023,5,4,85,13
14,14,0.043,0.704,0.252,0.9934,0.008954309858381748,0.04334405064582825,0.9477016925811768,0.99852,perfect compact speakers item came next day promised packaging minimal affective great see not excessive waste paper speakers easy connect not sure connect speakers instructions honest size price surprised bang olufsen speakers 90 time cost 300 exceptional dubious sound quality albeit son pc playstation etc sound actually really sharp base pretty good without distortion sound loss sound bands pretty much together not lost whilst not exactly match b price surprised sound good compact size allows son shelf pretty light weight not compromise sound price worthy buy,"perfect compact speakers. item came next day as promised and packaging was minimal but affective, great to see there was not excessive waste on paper !!..the speakers were very easy to connect, if you were not sure how to connect speakers there was some instructions !..to be honest for the size and price, i was very surprised. i have bang and olufsen speakers from the 90's which at the time cost £300!! they are exceptional so was very dubious of the sound quality albeit they are for my son and his pc/playstation etc.. the sound was actually really sharp and the base was pretty good without any distortion or sound loss. the sound bands were pretty much together and not lost at all..whilst not exactly a match for my b&o, for the price i was so surprised. the sound is so good, and their compact size allows my son to have these on his shelf above him. pretty light weight but they do not compromise on sound..all in all for the price these are a worthy buy",perfect compact speakers,"item came next day as promised and packaging was minimal but affective, great to see there was not excessive waste on paper !!..the speakers were very easy to connect, if you were not sure how to connect speakers there was some instructions !..to be honest for the size and price, i was very surprised. i have bang and olufsen speakers from the 90's which at the time cost £300!! they are exceptional so was very dubious of the sound quality albeit they are for my son and his pc/playstation etc.. the sound was actually really sharp and the base was pretty good without any distortion or sound loss. the sound bands were pretty much together and not lost at all..whilst not exactly a match for my b&o, for the price i was so surprised. the sound is so good, and their compact size allows my son to have these on his shelf above him. pretty light weight but they do not compromise on sound..all in all for the price these are a worthy buy",5,Positive,2023,5,4,964,177
15,15,0.054,0.833,0.113,0.3479,0.033732760697603226,0.11314895749092102,0.8531183004379272,0.90188,amazing sound price ive blown away speakers 79 99 really studio monitors may not best not low quality dont think speaker price point comes closes,amazing sound for price. ive been blown away from these speakers for 79.99.they really are studio monitors.may not be the best but are not low quality at all.dont think any speaker in this price point comes closes,amazing sound for price,ive been blown away from these speakers for 79.99.they really are studio monitors.may not be the best but are not low quality at all.dont think any speaker in this price point comes closes,5,Positive,2023,5,3,213,37
16,16,0.084,0.643,0.273,0.9153,0.0026648356579244137,0.019713539630174637,0.9776215553283691,0.99899,great speakers bought speakers use new gaming pc haven disappointed well packaged look sound great often listen music house wanted speakers also good bass perform brilliant low price,"great speakers. bought these speakers to use for my new gaming pc and they haven’t disappointed. well packaged, look and sound great. i often listen to music such as house so wanted speakers that could also have good bass and they would perform. brilliant for such a low price.",great speakers,"bought these speakers to use for my new gaming pc and they haven’t disappointed. well packaged, look and sound great. i often listen to music such as house so wanted speakers that could also have good bass and they would perform. brilliant for such a low price.",5,Positive,2023,5,2,277,49
