,Title,Rating,Content
0,Its a beuaty,5,Love its compact shape and sound
1,Perfect upgrade for PC Audio,5,"If you ruining cheap PC Speakers those will blow your mind. Clean sound, small frame, good value for money."
2,Wonderful monitors,5,"It's been some years since using any monitors as I use DT770 250's for all my audio work and wow, I'm so pleased I added these to my studio.

First the sound.

The sound is quite flat which is good as you can accurately EQ your sound. The bass is ""even"", meaning that it's there but it's not exaggerated. The mids are very well balanced (they sound great) and the high end is also fairly well balanced and you can get some nice air and snap when EQing. For those that have the Bayer Dynamic DT770 250"
3,Not loud enough,2,These are probably suited for bedroom use and not anything more. The bass kept cutting out with the highs and mids at times also doing the same. Not great at all - I opted for KrK’s instead!
4,Faulty,1,"Passive speaker won't connect to the main speaker.. Faulty
Very disappointed"
5,Brilliant monitor speakers for DJ'ing,5,"Absolutely love these speakers - perfect for DJ'ing at home and loud enough for a little boogie with the kids. Sound quality is great and I'm glad I did my research ahead of time. Build quality is really good, the volume pot is nice and smooth.

These would be great for home music production or for gaming.

Well worth the investment."
6,very good but not as good as the harman kardon soundticks,4,"very good but not as good as the harman kardon soundticks

though these are smaller overall"
7,Crackling sound when connected to bluetooth,1,"I’d like to preface this review by saying I tried 2 different sets of these speakers (both the bluetooth version), brand new, and both had the EXACT same issue, so must be a model issue rather than a one-off problem.

The first pair I bought had a constant crackling/buzzing noise coming from the passive speaker when connected to bluetooth. The noise disappeared when disconnected from bluetooth, but appeared instantly when connected. It was audible at low volumes which ruined the listening experi"
8,These broke after 2 years,1,My speakers broke after a couple of years - useless the amp went inside.
9,impressive sound quality!,5,"bought a pair of these for my daughter, so good I kept them and ordered another pair :-)"
10,Great deal.,5,
11,Excellent,5,Great set of speakers. Good quality sound. Easy connections. Very happy 🙂👍
12,perfect compact speakers,5,"Item came next day as promised and packaging was minimal but affective, great to see there was not excessive waste on paper !!

The speakers were very easy to connect, if you were not sure how to connect speakers there was some instructions !

to be honest for the size and price, I was very surprised. I have Bang and Olufsen speakers from the 90's which at the time cost £300!! They are exceptional so was very dubious of the sound quality albeit they are for my son and his pc/playstation etc.. th"
